league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,npGoals,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CornerKicks,InSwingCK,OutSwingCK,StraightCK,PassesOffside,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fouls,FoulsDrawn,Offside,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
ENG-Premier League,2223,Liverpool,Ibrahima Konaté,FRA,DF,23.0,1999.0,18,17,1552,17.2,0,0,11,3,27.3,0.64,0.17,0.0,0.0,9.7,0,0,0,1.2,1.2,0.11,-1.2,-1.2,988,1135,87.0,17712,6925,374,413,90.6,539,588,91.7,59,109,54.1,0.0,0.1,0.8,-0.1,1.0,56.0,2.0,0.0,56.0,1115,19,16,2,6,1,3,0,0,0,0,1,5,17,0.99,12,0,1,2,1,1,1,0.06,1,0,0,0,0,0,38,26,25,13,0,16,27,59.3,11,12,5,7,26.0,64.0,61.0,4.0,1317,107,589,691,43,22,1317,14,10,71.4,2,14.3,829,3627,1871,7,7,0,12,4,918,5,5,0,0,29,15,1,0,1,1,107,46,14,76.7
ENG-Premier League,2223,Liverpool,James Milner,ENG,"MF,DF",36.0,1986.0,31,7,913,10.1,0,0,7,1,14.3,0.69,0.1,0.0,0.0,17.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,563,727,77.4,9891,3403,261,291,89.7,238,279,85.3,52,112,46.4,1.0,0.9,1.6,0.1,13.0,61.0,15.0,5.0,70.0,625,99,20,2,4,52,65,12,2,9,0,3,24,36,3.56,27,4,3,2,0,0,3,0.3,2,1,0,0,0,0,26,16,11,11,4,15,34,44.1,19,14,2,12,12.0,38.0,15.0,0.0,848,24,196,390,264,24,848,21,11,52.4,8,38.1,447,1868,886,21,17,5,19,14,551,78,2,0,0,16,15,0,0,0,0,64,13,14,48.1
ENG-Premier League,2223,Liverpool,Joe Gomez,ENG,DF,25.0,1997.0,21,15,1466,16.3,0,0,6,2,33.3,0.37,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,1166,1361,85.7,23380,7637,336,379,88.7,686,745,92.1,127,197,64.5,0.0,0.2,0.7,-0.2,1.0,121.0,4.0,0.0,108.0,1316,39,6,2,11,4,30,0,0,0,0,6,5,18,1.11,15,1,0,1,0,1,1,0.06,1,0,0,0,0,0,28,21,15,11,2,11,19,57.9,8,17,11,6,24.0,52.0,51.0,2.0,1521,114,602,851,76,6,1521,5,4,80.0,1,20.0,1005,4826,2616,15,12,0,13,5,1040,5,3,0,0,13,4,1,0,1,0,126,46,38,54.8
ENG-Premier League,2223,Liverpool,Jordan Henderson,ENG,MF,32.0,1990.0,35,23,2074,23.0,0,0,23,5,21.7,1.0,0.22,0.0,0.0,22.8,0,0,0,1.4,1.4,0.06,-1.4,-1.4,1341,1615,83.0,22431,5954,666,734,90.7,513,594,86.4,122,193,63.2,2.0,3.2,3.6,-1.2,31.0,158.0,47.0,12.0,189.0,1554,53,12,9,11,45,17,0,0,0,0,8,32,72,3.13,65,1,0,3,1,2,7,0.3,5,0,0,1,1,0,32,23,10,18,4,15,36,41.7,21,21,3,18,21.0,53.0,16.0,1.0,1782,34,277,1013,505,45,1782,23,12,52.2,8,34.8,1060,4836,2046,37,49,1,18,9,1319,90,2,0,0,18,9,3,0,0,0,163,11,10,52.4
ENG-Premier League,2223,Liverpool,Joël Matip,CMR,DF,30.0,1991.0,14,12,1092,12.1,1,1,5,3,60.0,0.41,0.25,0.2,0.33,8.3,0,0,0,0.7,0.7,0.17,0.3,0.3,766,885,86.6,13750,4547,305,349,87.4,395,428,92.3,57,85,67.1,0.0,0.3,0.4,-0.3,4.0,53.0,7.0,0.0,59.0,873,11,7,0,5,1,4,0,0,0,0,1,5,16,1.32,14,0,0,2,0,0,0,0.0,0,0,0,0,0,0,14,8,12,2,0,11,23,47.8,12,8,3,5,21.0,35.0,45.0,3.0,1004,111,482,468,62,17,1004,7,4,57.1,3,42.9,657,4140,2907,28,22,1,14,1,720,2,3,0,0,10,5,1,0,0,1,78,25,23,52.1
ENG-Premier League,2223,Liverpool,Kostas Tsimikas,GRE,DF,26.0,1996.0,20,9,771,8.6,0,0,7,2,28.6,0.82,0.23,0.0,0.0,15.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,474,618,76.7,8379,2366,223,255,87.5,185,225,82.2,56,111,50.5,4.0,1.6,1.3,2.4,18.0,20.0,7.0,4.0,26.0,470,146,23,1,2,85,87,36,11,23,0,2,9,27,3.14,12,13,0,2,0,0,4,0.47,3,1,0,0,0,0,14,9,10,2,2,10,16,62.5,6,8,1,7,12.0,26.0,15.0,0.0,713,23,170,281,268,22,713,15,4,26.7,8,53.3,355,1833,874,23,9,5,13,7,409,77,3,0,0,13,9,0,0,0,0,50,7,7,50.0
ENG-Premier League,2223,Liverpool,Luis Díaz,COL,FW,25.0,1997.0,17,11,996,11.1,4,4,27,8,29.6,2.44,0.72,0.15,0.5,15.1,0,0,0,2.5,2.5,0.09,1.5,1.5,376,462,81.4,5698,1124,215,256,84.0,127,150,84.7,25,27,92.6,2.0,1.5,1.3,0.5,13.0,25.0,13.0,1.0,49.0,453,7,0,0,7,8,6,1,0,0,0,2,15,41,3.7,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0,17,11,4,8,5,8,15,53.3,7,8,0,8,6.0,23.0,2.0,0.0,618,4,47,247,336,77,618,65,32,49.2,25,38.5,440,2944,1303,39,31,22,30,37,500,116,2,0,0,20,24,3,0,0,0,50,8,23,25.8
ENG-Premier League,2223,Liverpool,Mohamed Salah,EGY,FW,30.0,1992.0,38,37,3290,36.6,17,19,121,45,37.2,3.31,1.23,0.14,0.38,15.1,2,2,4,21.7,18.5,0.15,-2.7,-1.5,902,1185,76.1,12538,3403,533,648,82.3,283,352,80.4,38,66,57.6,12.0,7.7,7.2,4.3,65.0,53.0,80.0,7.0,149.0,1146,29,4,14,3,38,17,0,0,0,0,10,40,140,3.83,106,2,12,12,6,2,24,0.66,17,1,0,2,3,1,21,12,4,5,12,10,26,38.5,16,21,0,21,6.0,27.0,4.0,0.0,1634,4,83,539,1028,301,1630,134,50,37.3,72,53.7,1107,6382,3036,120,66,87,110,79,1305,421,2,0,0,20,33,22,0,0,0,100,8,30,21.1
ENG-Premier League,2223,Liverpool,Naby Keïta,GUI,MF,27.0,1995.0,8,3,293,3.3,0,0,10,0,0.0,3.07,0.0,0.0,,20.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,129,168,76.8,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,0.0,0.7,0.2,-0.7,8.0,15.0,2.0,0.0,15.0,161,6,1,0,0,2,1,0,0,0,0,1,7,12,3.67,10,0,0,2,0,0,0,0.0,0,0,0,0,0,0,5,4,2,3,0,1,4,25.0,3,1,0,1,2.0,7.0,3.0,0.0,206,5,34,114,59,11,206,4,3,75.0,0,0.0,111,536,220,5,6,0,12,7,140,21,1,0,0,12,2,0,0,0,0,29,3,7,30.0
ENG-Premier League,2223,Liverpool,Nathaniel Phillips,ENG,DF,25.0,1997.0,2,1,66,0.7,0,0,1,0,0.0,1.36,0.0,0.0,,10.8,0,0,0,0.0,0.0,0.04,0.0,0.0,71,82,86.6,1364,602,32,34,94.1,27,29,93.1,9,14,64.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,80,2,2,0,2,0,0,0,0,0,0,0,0,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,0,2,0,2,2,100.0,0,0,0,0,2.0,4.0,1.0,0.0,89,3,26,63,2,1,89,0,0,,0,,69,574,393,0,1,0,2,0,60,0,0,0,0,1,0,0,0,0,0,14,4,0,100.0
